Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,009018,1911,11,0.5,Y
IDCJAC0001,009018,1911,12,2.8,Y
IDCJAC0001,009018,1912,01,1.5,Y
IDCJAC0001,009018,1912,02,12.4,Y
IDCJAC0001,009018,1912,03,0.0,Y
IDCJAC0001,009018,1912,04,9.4,Y
IDCJAC0001,009018,1912,05,87.3,Y
IDCJAC0001,009018,1912,06,49.6,Y
IDCJAC0001,009018,1912,07,212.2,Y
IDCJAC0001,009018,1912,08,71.0,Y
IDCJAC0001,009018,1912,09,140.3,Y
IDCJAC0001,009018,1912,10,29.4,Y
IDCJAC0001,009018,1912,11,16.1,Y
IDCJAC0001,009018,1912,12,6.4,Y
IDCJAC0001,009018,1913,01,0.0,Y
IDCJAC0001,009018,1913,02,3.6,Y
IDCJAC0001,009018,1913,03,5.8,Y
IDCJAC0001,009018,1913,04,14.1,Y
IDCJAC0001,009018,1913,05,17.8,Y
IDCJAC0001,009018,1913,06,198.7,Y
IDCJAC0001,009018,1913,07,122.3,Y
IDCJAC0001,009018,1913,08,190.7,Y
IDCJAC0001,009018,1913,09,85.3,Y
IDCJAC0001,009018,1913,10,79.3,Y
IDCJAC0001,009018,1913,11,10.8,Y
IDCJAC0001,009018,1913,12,30.4,Y
IDCJAC0001,009018,1914,01,0.0,Y
IDCJAC0001,009018,1914,02,13.0,Y
IDCJAC0001,009018,1914,03,0.0,Y
IDCJAC0001,009018,1914,04,15.0,Y
IDCJAC0001,009018,1914,05,26.5,Y
IDCJAC0001,009018,1914,06,65.9,Y
IDCJAC0001,009018,1914,07,79.4,Y
IDCJAC0001,009018,1914,08,58.1,Y
IDCJAC0001,009018,1914,09,13.0,Y
IDCJAC0001,009018,1914,10,24.0,Y
IDCJAC0001,009018,1914,11,23.5,Y
IDCJAC0001,009018,1914,12,3.9,Y
IDCJAC0001,009018,1915,01,28.5,Y
IDCJAC0001,009018,1915,02,84.9,Y
IDCJAC0001,009018,1915,03,21.8,Y
IDCJAC0001,009018,1915,04,16.2,Y
IDCJAC0001,009018,1915,05,132.0,Y
IDCJAC0001,009018,1915,06,137.4,Y
IDCJAC0001,009018,1915,07,256.3,Y
IDCJAC0001,009018,1915,08,165.7,Y
IDCJAC0001,009018,1915,09,112.3,Y
IDCJAC0001,009018,1915,10,97.6,Y
IDCJAC0001,009018,1915,11,7.7,Y
IDCJAC0001,009018,1915,12,0.5,Y
IDCJAC0001,009018,1916,01,34.8,Y
IDCJAC0001,009018,1916,02,43.9,Y
IDCJAC0001,009018,1916,03,8.1,Y
IDCJAC0001,009018,1916,04,8.4,Y
IDCJAC0001,009018,1916,05,82.9,Y
IDCJAC0001,009018,1916,06,145.8,Y
IDCJAC0001,009018,1916,07,192.9,Y
IDCJAC0001,009018,1916,08,133.1,Y
IDCJAC0001,009018,1916,09,10.4,Y
IDCJAC0001,009018,1916,10,76.4,Y
IDCJAC0001,009018,1916,11,40.1,Y
IDCJAC0001,009018,1916,12,1.8,Y
IDCJAC0001,009018,1917,01,0.0,Y
IDCJAC0001,009018,1917,02,10.7,Y
IDCJAC0001,009018,1917,03,22.3,Y
IDCJAC0001,009018,1917,04,46.9,Y
IDCJAC0001,009018,1917,05,106.0,Y
IDCJAC0001,009018,1917,06,238.0,Y
IDCJAC0001,009018,1917,07,240.6,Y
IDCJAC0001,009018,1917,08,180.6,Y
IDCJAC0001,009018,1917,09,132.5,Y
IDCJAC0001,009018,1917,10,78.8,Y
IDCJAC0001,009018,1917,11,0.0,Y
IDCJAC0001,009018,1917,12,44.8,Y
IDCJAC0001,009018,1918,01,8.3,Y
IDCJAC0001,009018,1918,02,21.6,Y
IDCJAC0001,009018,1918,03,32.5,Y
IDCJAC0001,009018,1918,04,19.3,Y
IDCJAC0001,009018,1918,05,125.3,Y
IDCJAC0001,009018,1918,06,221.8,Y
IDCJAC0001,009018,1918,07,82.8,Y
IDCJAC0001,009018,1918,08,132.7,Y
IDCJAC0001,009018,1918,09,74.3,Y
IDCJAC0001,009018,1918,10,95.4,Y
IDCJAC0001,009018,1918,11,16.1,Y
IDCJAC0001,009018,1918,12,1.8,Y
IDCJAC0001,009018,1919,01,9.7,Y
IDCJAC0001,009018,1919,02,3.1,Y
IDCJAC0001,009018,1919,03,1.8,Y
IDCJAC0001,009018,1919,04,56.5,Y
IDCJAC0001,009018,1919,05,28.9,Y
IDCJAC0001,009018,1919,06,114.6,Y
IDCJAC0001,009018,1919,07,141.9,Y
IDCJAC0001,009018,1919,08,133.0,Y
IDCJAC0001,009018,1919,09,69.8,Y
IDCJAC0001,009018,1919,10,62.3,Y
IDCJAC0001,009018,1919,11,16.2,Y
IDCJAC0001,009018,1919,12,52.6,Y
IDCJAC0001,009018,1920,01,3.1,Y
IDCJAC0001,009018,1920,02,0.0,Y
IDCJAC0001,009018,1920,03,25.1,Y
IDCJAC0001,009018,1920,04,1.9,Y
IDCJAC0001,009018,1920,05,183.1,Y
